rank,business_id,business_name,category,city,wilaya,cluster,rating,review_count,has_website,has_phone,has_social_media,electrical_related,industrial_related,electricity_meter_score,gas_meter_score,gas_detector_score,wholesale_score,business_quality_score,business_presence_score,prospect_score,prospect_level,best_product,reasons
99,B105,مؤسسة الترقية العقارية سعيدي عبد الحميد,Construction company,Setif,Setif,1,2.0,1.0,False,True,False,False,False,0,0,0,45,30.00761932894752,35,22.5,LOW,Electricity meters,has phone contact
100,B069,MEKHALFI KAMEL,Construction company,Setif,Setif,7,,0.0,False,True,False,False,False,0,0,0,45,30.0,35,22.5,LOW,Electricity meters,has phone contact
101,B119,GH Pub & Façades,Construction company,Setif,Setif,7,,0.0,False,True,False,False,False,0,0,0,45,30.0,35,22.5,LOW,Electricity meters,has phone contact
102,B063,Entreprise benbahouche anouar,Construction company,Setif,Setif,7,,0.0,False,True,False,False,False,0,0,0,45,30.0,35,22.5,LOW,Electricity meters,has phone contact
103,B049,Omarco - عماركو,Real estate developer,Setif,Setif,5,5.0,17.0,False,True,False,False,False,0,0,0,0,85.05132203892634,35,22.26,LOW,Electricity meters,high customer rating; has phone contact
104,B093,Seddik Valpaint Setif,Painter,Setif,Setif,5,4.9,10.0,False,True,False,False,False,0,0,0,0,79.58294825929764,35,21.17,LOW,Electricity meters,high customer rating; has phone contact
105,B121,Daisy Setif Décoration Boutique,Interior designer,Setif,Setif,5,4.8,9.0,False,True,False,False,False,0,0,0,0,77.55687943221912,35,20.76,LOW,Electricity meters,high customer rating; has phone contact
106,B098,Eurl sediki l'annexe Sétif,Home builder,Setif,Setif,3,,0.0,False,False,False,False,True,5,10,30,10,30.0,0,20.5,LOW,Gas leak detectors,industrial-related activity
107,B085,CITAL SETIF,Construction company,Setif,Setif,1,3.0,1.0,False,False,False,False,False,0,0,0,45,42.00761932894752,0,19.65,LOW,Electricity meters,
108,B099,ETB LASMI MOURAD,Building firm,Setif,Setif,5,5.0,2.0,False,True,False,False,False,0,0,0,0,69.52185135498941,35,19.15,LOW,Electricity meters,high customer rating; has phone contact
109,B114,cfmoto,Custom home builder,Setif,Setif,5,5.0,2.0,False,True,False,False,False,0,0,0,0,69.52185135498941,35,19.15,LOW,Electricity meters,high customer rating; has phone contact
110,B104,Granitex Sétif,Painter,Setif,Setif,5,5.0,1.0,False,True,False,False,False,0,0,0,0,66.00761932894751,35,18.45,LOW,Electricity meters,high customer rating; has phone contact
111,B061,Sellah Placo Setif 💋,Building firm,Setif,Setif,5,5.0,1.0,False,True,False,False,False,0,0,0,0,66.00761932894751,35,18.45,LOW,Electricity meters,high customer rating; has phone contact
112,B089,Entreprise Travaux Publics,Construction company,Setif,Setif,3,,0.0,False,False,False,False,False,0,0,0,45,30.0,0,17.25,LOW,Electricity meters,
113,B087,Design and construction,Construction company,Setif,Setif,3,,0.0,False,False,False,False,False,0,0,0,45,30.0,0,17.25,LOW,Electricity meters,
114,B084,FORMA TECH,Carpenter,Setif,Setif,5,4.0,3.0,False,True,False,False,False,0,0,0,0,60.01523865789504,35,17.25,LOW,Electricity meters,has phone contact
115,B083,ELBAR company,Construction company,Setif,Setif,3,,0.0,False,False,False,False,False,0,0,0,45,30.0,0,17.25,LOW,Electricity meters,
116,B060,"BET Mosaic ""Architecture et Construction""",Construction company,Setif,Setif,3,,0.0,False,False,False,False,False,0,0,0,45,30.0,0,17.25,LOW,Electricity meters,
117,B120,Chrome colortek setif,Construction company,Setif,Setif,3,,0.0,False,False,False,False,False,0,0,0,45,30.0,0,17.25,LOW,Electricity meters,
118,B059,Tasmeem setif,Home builder,Setif,Setif,1,2.6,17.0,False,True,False,False,False,0,0,0,0,56.25132203892635,35,16.5,LOW,Electricity meters,has phone contact
119,B102,Enpi SETIF,Building firm,Setif,Setif,1,3.0,2.0,False,True,False,False,False,0,0,0,0,45.521851354989415,35,14.35,LOW,Electricity meters,has phone contact
120,B090,ETP BAOUTA SALAH-EDDINE,Real estate developer,Setif,Setif,1,3.0,1.0,False,True,False,False,False,0,0,0,0,42.00761932894752,35,13.65,LOW,Electricity meters,has phone contact
121,B079,OCTOPUS CONSTRUCTION ENTREPRISE DE TRAVAUX DE BÂTIMENT TOUS CORPS D'ETAT,Home builder,Setif,Setif,1,3.0,2.0,False,False,False,False,False,0,0,0,0,45.521851354989415,0,9.1,LOW,Electricity meters,
